Date,Time (est),Month,DayOfWeek,Temperature,Relative Humidity,Dwpt
1,0:54,1,1,40,93,29.89
1,1:54,1,1,42,89,29.8
1,2:54,1,1,43,93,29.67
1,3:54,1,1,46,89,29.56
1,4:54,1,1,47,97,29.51
1,5:54,1,1,50,93,29.47
1,6:54,1,1,54,83,29.45
1,7:54,1,1,54,80,29.47
1,8:54,1,1,56,75,29.48
1,9:54,1,1,58,67,29.5
1,10:54,1,1,58,60,29.53
1,11:54,1,1,56,51,29.57
1,12:54,1,1,55,47,29.62
1,13:54,1,1,54,47,29.66
1,14:54,1,1,51,44,29.72
1,15:54,1,1,48,48,29.78
1,16:54,1,1,45,52,29.85
1,17:54,1,1,44,53,29.91
1,18:54,1,1,42,55,29.95
1,19:54,1,1,41,55,29.99
1,20:54,1,1,39,53,30.03
1,21:54,1,1,37,52,30.06
1,22:54,1,1,35,57,30.09
1,23:54,1,1,34,52,30.11
2,0:54,1,2,33,52,30.14
2,1:54,1,2,32,52,30.17
2,2:54,1,2,31,49,30.19
2,3:54,1,2,30,49,30.22
2,4:54,1,2,29,51,30.22
2,5:54,1,2,29,49,30.27
2,6:54,1,2,28,47,30.31
2,7:54,1,2,29,41,30.33
2,8:54,1,2,30,36,30.35
2,9:54,1,2,32,32,30.35
2,10:54,1,2,33,29,30.33
2,11:54,1,2,35,24,30.32
2,12:54,1,2,36,21,30.32
2,13:54,1,2,35,28,30.31
2,14:54,1,2,34,37,30.3
2,15:54,1,2,33,36,30.29
2,16:54,1,2,32,36,30.29
2,17:54,1,2,32,45,30.27
2,18:54,1,2,32,43,30.29
2,19:54,1,2,32,54,30.27
2,20:54,1,2,32,52,30.24
2,21:54,1,2,32,59,30.21
2,22:54,1,2,32,66,30.19
2,23:54,1,2,32,69,30.18
3,0:54,1,3,33,70,30.13
3,1:54,1,3,35,70,30.08
3,2:54,1,3,35,70,30.05
3,3:54,1,3,35,72,29.97
3,4:54,1,3,36,76,29.92
3,5:54,1,3,36,76,29.88
3,6:54,1,3,37,79,29.88
3,7:54,1,3,38,79,29.87
