Date,Time (est),Month,Temperature,Relative Humidity,Dwpt
1,00:54,1,40,93.0,29.89
1,01:54,1,42,89.0,29.8
1,02:54,1,43,93.0,29.67
1,03:54,1,46,89.0,29.56
1,04:54,1,47,97.0,29.51
1,05:54,1,50,93.0,29.47
1,06:54,1,54,83.0,29.45s
1,07:54,1,54,80.0,29.47s
1,08:54,1,56,75.0,29.48s
1,09:54,1,58,67.0,29.5
1,10:54,1,58,60.0,29.53
1,11:54,1,56,51.0,29.57
1,12:54,1,55,47.0,29.62
1,13:54,1,54,47.0,29.66
1,14:54,1,51,44.0,29.72
1,15:54,1,48,48.0,29.78
1,16:54,1,45,52.0,29.85
1,17:54,1,44,53.0,29.91
1,18:54,1,42,55.0,29.95
1,19:54,1,41,55.0,29.99
1,20:54,1,39,53.0,30.03
1,21:54,1,37,52.0,30.06
1,22:54,1,35,57.0,30.09
1,23:54,1,34,52.0,30.11
2,00:54,1,33,52.0,30.14
2,01:54,1,32,52.0,30.17
2,02:54,1,31,49.0,30.19
2,03:54,1,30,49.0,30.22
2,04:54,1,29,51.0,30.22
2,05:54,1,29,49.0,30.27
2,06:54,1,28,47.0,30.31
2,07:54,1,29,41.0,30.33
2,08:54,1,30,36.0,30.35
2,09:54,1,32,32.0,30.35
2,10:54,1,33,29.0,30.33
2,11:54,1,35,24.0,30.32
2,12:54,1,36,21.0,30.32
2,13:54,1,35,28.0,30.31
2,14:54,1,34,37.0,30.3
2,15:54,1,33,36.0,30.29
2,16:54,1,32,36.0,30.29
2,17:54,1,32,45.0,30.27
2,18:54,1,32,43.0,30.29
2,19:54,1,32,54.0,30.27
2,20:54,1,32,52.0,30.24
2,21:54,1,32,59.0,30.21
2,22:54,1,32,66.0,30.19
2,23:54,1,32,69.0,30.18
3,00:54,1,33,70.0,30.13
3,01:54,1,35,70.0,30.08
3,02:54,1,35,70.0,30.05
3,03:54,1,35,72.0,29.97
3,04:54,1,36,76.0,29.92
3,05:54,1,36,76.0,29.88
3,06:54,1,37,79.0,29.88
3,07:54,1,38,79.0,29.87
3,08:54,1,38,86.0,29.87
3,09:54,1,38,86.0,29.87
3,10:54,1,42,73.0,29.83
3,11:54,1,45,63.0,29.8
3,12:54,1,45,56.0,29.81
3,13:54,1,45,54.0,29.81
3,14:54,1,45,52.0,29.84
3,15:54,1,44,49.0,29.86
3,16:54,1,42,53.0,29.88
3,17:54,1,41,53.0,29.91
3,18:54,1,40,58.0,29.93
3,19:54,1,39,57.0,29.95
3,20:54,1,38,55.0,29.96
3,21:54,1,38,55.0,29.96
3,22:54,1,39,53.0,29.95
3,23:54,1,39,48.0,29.96
4,00:54,1,38,51.0,29.96
4,01:54,1,38,51.0,29.98
4,02:54,1,37,54.0,29.97
4,03:54,1,37,57.0,29.95
4,04:54,1,36,62.0,29.94
4,05:54,1,36,62.0,29.95
4,06:54,1,35,64.0,29.96
4,07:54,1,36,62.0,29.96
4,08:54,1,38,60.0,29.95
4,09:54,1,41,53.0,29.93
4,10:54,1,43,49.0,29.88
4,11:54,1,45,46.0,29.85
4,12:54,1,47,42.0,29.83
4,13:54,1,47,42.0,29.82
4,14:54,1,47,44.0,29.81
4,15:54,1,46,47.0,29.82
4,16:54,1,44,53.0,29.82
4,17:54,1,43,58.0,29.82
4,18:54,1,43,58.0,29.84
4,19:54,1,42,60.0,29.83
4,20:54,1,42,60.0,29.83
4,21:54,1,42,62.0,29.81
4,22:54,1,40,68.0,29.79
4,23:54,1,40,70.0,29.77
5,00:54,1,40,73.0,29.76
5,01:54,1,40,73.0,29.75
5,02:54,1,40,73.0,29.74
5,03:54,1,40,77.0,29.72
5,04:54,1,39,79.0,29.68
5,05:54,1,40,83.0,29.67
5,06:54,1,40,86.0,29.66
5,07:54,1,41,86.0,29.67
5,08:54,1,42,89.0,29.68
5,09:54,1,43,89.0,29.65
5,10:54,1,43,86.0,29.6
5,11:54,1,42,89.0,29.56
5,12:54,1,42,85.0,29.53
5,13:54,1,41,89.0,29.49
5,14:54,1,41,89.0,29.48
5,15:54,1,40,89.0,29.49
5,16:54,1,40,89.0,29.49
5,17:54,1,40,86.0,29.51
5,18:54,1,40,86.0,29.53
5,19:54,1,39,89.0,29.55
5,20:54,1,39,86.0,29.56
5,21:54,1,39,82.0,29.54
5,22:54,1,38,83.0,29.57
5,23:54,1,38,76.0,29.59
6,00:54,1,38,76.0,29.62
6,01:54,1,37,76.0,29.65
6,02:54,1,36,79.0,29.67
6,03:54,1,36,79.0,29.67
6,04:54,1,37,76.0,29.68
6,05:54,1,38,70.0,29.69
6,06:54,1,38,70.0,29.72
6,07:54,1,38,70.0,29.74
6,08:54,1,39,70.0,29.77
6,09:54,1,40,68.0,29.78
6,10:54,1,42,62.0,29.78
6,11:54,1,44,60.0,29.77
6,12:54,1,45,56.0,29.76
6,13:54,1,47,50.0,29.78
6,14:54,1,43,56.0,29.81
6,15:54,1,42,51.0,29.85
6,16:54,1,39,46.0,29.91
6,17:54,1,36,46.0,29.97
6,18:54,1,34,44.0,30.02
6,19:54,1,32,38.0,30.07
6,20:54,1,30,39.0,30.1
6,21:54,1,29,41.0,30.11
6,22:54,1,27,43.0,30.14
6,23:54,1,25,46.0,30.18
7,00:54,1,24,44.0,30.21
7,01:54,1,24,46.0,30.23
7,02:54,1,23,44.0,30.26
7,03:54,1,21,39.0,30.3
7,04:54,1,21,38.0,30.32
7,05:54,1,20,36.0,30.35
7,06:54,1,19,36.0,30.37
7,07:54,1,19,37.0,30.41
7,08:54,1,21,33.0,30.43
7,09:54,1,23,30.0,30.45
7,10:54,1,25,28.0,30.44
7,11:54,1,28,26.0,30.4
7,12:54,1,30,22.0,30.4
7,13:54,1,30,20.0,30.41
7,14:54,1,31,20.0,30.41
7,15:54,1,30,20.0,30.42
7,16:54,1,29,21.0,30.41
7,17:54,1,29,26.0,30.41
7,18:54,1,28,27.0,30.42
7,19:54,1,27,32.0,30.4
7,20:54,1,28,29.0,30.41
7,21:54,1,28,34.0,30.37
7,22:54,1,30,38.0,30.35
7,23:54,1,31,42.0,30.35
8,00:54,1,31,36.0,30.36
8,01:54,1,30,36.0,30.36
8,02:54,1,30,36.0,30.32
8,03:54,1,31,45.0,30.28
8,04:54,1,32,54.0,30.2
8,05:54,1,32,61.0,30.21
8,06:54,1,33,66.0,30.19
8,07:54,1,33,72.0,30.16
8,08:54,1,34,75.0,30.14
8,09:54,1,36,76.0,30.12
8,10:54,1,37,89.0,30.07
8,11:54,1,38,93.0,30.01
8,12:54,1,42,89.0,29.97
8,13:54,1,41,89.0,29.92
8,14:54,1,41,93.0,29.89
8,15:54,1,42,89.0,29.86
8,16:54,1,41,93.0,29.82
8,17:54,1,42,92.0,29.79
8,18:54,1,42,92.0,29.76
8,19:54,1,41,93.0,29.72
8,20:54,1,40,93.0,29.69
8,21:54,1,36,93.0,29.66
8,22:54,1,35,93.0,29.6
8,23:54,1,37,89.0,29.57
9,00:54,1,35,93.0,29.54
9,01:54,1,35,93.0,29.51
9,02:54,1,36,93.0,29.49
9,03:54,1,36,89.0,29.44
9,04:54,1,36,97.0,29.39
9,05:54,1,37,93.0,29.36
9,06:54,1,37,96.0,29.33
9,07:54,1,40,93.0,29.31
9,08:54,1,43,74.0,29.3
9,09:54,1,44,71.0,29.29
9,10:54,1,44,65.0,29.27
9,11:54,1,45,63.0,29.25
9,12:54,1,45,61.0,29.27
9,13:54,1,43,71.0,29.29
9,14:54,1,44,60.0,29.31
9,15:54,1,44,55.0,29.34
9,16:54,1,43,58.0,29.35
9,17:54,1,42,58.0,29.38
9,18:54,1,40,60.0,29.41
9,19:54,1,39,55.0,29.41
9,20:54,1,38,55.0,29.4
9,21:54,1,37,54.0,29.41
9,22:54,1,36,57.0,29.4
9,23:54,1,37,54.0,29.4
10,00:54,1,36,55.0,29.4
10,01:54,1,35,54.0,29.41
10,02:54,1,36,55.0,29.42
10,03:54,1,36,55.0,29.41
10,04:54,1,36,55.0,29.41
10,05:54,1,36,55.0,29.42
10,06:54,1,35,61.0,29.44
10,07:54,1,35,59.0,29.46
10,08:54,1,36,59.0,29.48
10,09:54,1,35,59.0,29.5
10,10:54,1,35,54.0,29.5
10,11:54,1,35,57.0,29.5
10,12:54,1,34,56.0,29.52
10,13:54,1,34,48.0,29.53
10,14:54,1,35,44.0,29.56
10,15:54,1,35,44.0,29.59
10,16:54,1,35,46.0,29.62
10,17:54,1,33,47.0,29.65
10,18:54,1,32,50.0,29.68
10,19:54,1,30,51.0,29.69
10,20:54,1,30,49.0,29.73
10,21:54,1,28,51.0,29.76
10,22:54,1,27,49.0,29.78
10,23:54,1,26,51.0,29.79
11,00:54,1,25,53.0,29.82
11,01:54,1,25,53.0,29.83
11,02:54,1,25,55.0,29.85
11,03:54,1,26,53.0,29.86
11,04:54,1,26,53.0,29.88
11,05:54,1,26,53.0,29.9
11,06:54,1,25,53.0,29.93
11,07:54,1,25,50.0,29.98
11,08:54,1,25,48.0,30.02
11,09:54,1,27,43.0,30.05
11,10:54,1,28,41.0,30.05
11,11:54,1,28,41.0,30.05
11,12:54,1,29,38.0,30.06
11,13:54,1,28,37.0,30.07
11,14:54,1,27,37.0,30.1
11,15:54,1,27,32.0,30.12
11,16:54,1,25,29.0,30.15
11,17:54,1,23,30.0,30.19
11,18:54,1,22,31.0,30.22
11,19:54,1,21,31.0,30.25
11,20:54,1,19,34.0,30.28
11,21:54,1,18,35.0,30.32
11,22:54,1,17,37.0,30.33
11,23:54,1,17,35.0,30.33
12,00:54,1,16,38.0,30.37
12,01:54,1,16,38.0,30.37
12,02:54,1,16,37.0,30.39
12,03:54,1,15,40.0,30.4
12,04:54,1,15,44.0,30.42
12,05:54,1,15,44.0,30.44
12,06:54,1,15,44.0,30.46
12,07:54,1,16,45.0,30.47
12,08:54,1,18,41.0,30.48
12,09:54,1,20,36.0,30.48
12,10:54,1,23,32.0,30.46
12,11:54,1,25,29.0,30.43
12,12:54,1,28,26.0,30.42
12,13:54,1,28,26.0,30.42
12,14:54,1,28,26.0,30.43
12,15:54,1,28,27.0,30.44
12,16:54,1,27,28.0,30.44
12,17:54,1,26,29.0,30.46
12,18:54,1,25,30.0,30.48
12,19:54,1,24,33.0,30.48
12,20:54,1,23,35.0,30.48
12,21:54,1,22,36.0,30.48
12,22:54,1,21,38.0,30.47
12,23:54,1,20,41.0,30.47
13,00:54,1,19,45.0,30.47
13,01:54,1,19,45.0,30.47
13,02:54,1,18,47.0,30.46
13,03:54,1,17,49.0,30.46
13,04:54,1,17,49.0,30.47
13,05:54,1,17,51.0,30.48
13,06:54,1,16,54.0,30.46
13,07:54,1,16,54.0,30.47
13,08:54,1,18,49.0,30.48
13,09:54,1,20,45.0,30.49
13,10:54,1,23,44.0,30.47
13,11:54,1,26,44.0,30.44
13,12:54,1,29,43.0,30.42
13,13:54,1,28,47.0,30.41
13,14:54,1,28,51.0,30.41
13,15:54,1,27,51.0,30.39
13,16:54,1,26,53.0,30.39
13,17:54,1,25,55.0,30.4
13,18:54,1,24,62.0,30.4
13,19:54,1,25,66.0,30.38
13,20:54,1,25,66.0,30.38
13,21:54,1,27,63.0,30.37
13,22:54,1,27,63.0,30.36
13,23:54,1,26,66.0,30.34
14,00:54,1,26,63.0,30.32
14,01:54,1,25,63.0,30.33
14,02:54,1,25,60.0,30.32
14,03:54,1,25,60.0,30.29
14,04:54,1,25,63.0,30.27
14,05:54,1,24,65.0,30.27
14,06:54,1,24,62.0,30.27
14,07:54,1,24,65.0,30.27
14,08:54,1,25,63.0,30.28
14,09:54,1,26,63.0,30.28
14,10:54,1,28,63.0,30.26
14,11:54,1,29,63.0,30.22
14,12:54,1,30,64.0,30.19
14,13:54,1,31,59.0,30.18
14,14:54,1,30,61.0,30.16
14,15:54,1,29,63.0,30.14
14,16:54,1,28,63.0,30.13
14,17:54,1,28,63.0,30.12
14,18:54,1,30,47.0,30.11
14,19:54,1,29,54.0,30.1
14,20:54,1,29,47.0,30.09
14,21:54,1,28,51.0,30.09
14,22:54,1,27,46.0,30.08
14,23:54,1,27,45.0,30.06
15,00:54,1,26,44.0,30.06
15,01:54,1,26,42.0,30.05
15,02:54,1,25,42.0,30.04
15,03:54,1,25,42.0,30.03
15,04:54,1,25,40.0,30.03
15,05:54,1,26,40.0,30.04
15,06:54,1,25,42.0,30.06
15,07:54,1,26,40.0,30.07
15,08:54,1,27,43.0,30.09
15,09:54,1,30,45.0,30.1
15,10:54,1,32,45.0,30.09
15,11:54,1,34,42.0,30.07
15,12:54,1,36,40.0,30.05
15,13:54,1,38,43.0,30.05
15,14:54,1,37,46.0,30.05
15,15:54,1,37,46.0,30.06
15,16:54,1,36,48.0,30.06
15,17:54,1,34,52.0,30.08
15,18:54,1,32,59.0,30.09
15,19:54,1,32,56.0,30.1
15,20:54,1,30,61.0,30.1
15,21:54,1,31,59.0,30.09
15,22:54,1,30,66.0,30.09
15,23:54,1,28,69.0,30.07
