Date,Time (est),Month,DayOfWeek,Temperature (ºF),Relative Humidity,Dwpt
1,00:54,1,0,33.0,66.0,29.97
1,01:54,1,0,33.0,66.0,29.98
1,02:54,1,0,33.0,66.0,29.98
1,03:54,1,0,33.0,66.0,29.98
1,04:54,1,0,32.0,73.0,29.97
1,05:54,1,0,32.0,73.0,29.99
1,06:54,1,0,32.0,69.0,30.00
1,07:54,1,0,32.0,66.0,30.02
1,08:54,1,0,32.0,69.0,30.03
1,09:54,1,0,33.0,64.0,30.04
1,10:54,1,0,35.0,61.0,30.04
1,11:54,1,0,36.0,62.0,30.03
1,12:54,1,0,36.0,59.0,30.01
1,13:54,1,0,38.0,55.0,30.00
1,14:54,1,0,38.0,57.0,30.01
1,15:54,1,0,37.0,59.0,30.02
1,16:54,1,0,35.0,64.0,30.04
1,17:54,1,0,33.0,78.0,30.05
1,18:54,1,0,32.0,79.0,30.06
1,19:54,1,0,31.0,79.0,30.07
1,20:54,1,0,31.0,67.0,30.07
1,21:54,1,0,29.0,69.0,30.07
1,22:54,1,0,29.0,66.0,30.07
1,23:54,1,0,28.0,66.0,30.06
2,00:54,1,1,27.0,69.0,30.05
2,01:54,1,1,26.0,71.0,30.06
2,02:54,1,1,25.0,75.0,30.06
2,03:54,1,1,24.0,77.0,30.05
2,04:54,1,1,24.0,77.0,30.04
2,05:54,1,1,25.0,75.0,30.06
2,06:54,1,1,25.0,75.0,30.06
2,07:54,1,1,26.0,78.0,30.06
2,08:54,1,1,29.0,66.0,30.06
2,09:54,1,1,31.0,61.0,30.06
2,10:54,1,1,32.0,56.0,30.03
2,11:54,1,1,35.0,52.0,30.00
2,12:54,1,1,37.0,50.0,29.97
2,13:54,1,1,39.0,43.0,29.96
2,14:54,1,1,41.0,38.0,29.95
2,15:54,1,1,39.0,45.0,29.95
2,16:54,1,1,38.0,44.0,29.95
2,17:54,1,1,37.0,50.0,29.95
2,18:54,1,1,38.0,48.0,29.95
2,19:54,1,1,36.0,57.0,29.94
2,20:54,1,1,33.0,70.0,29.93
2,21:54,1,1,34.0,67.0,29.93
2,22:54,1,1,34.0,67.0,29.93
2,23:54,1,1,34.0,67.0,29.92
3,00:54,1,2,33.0,70.0,29.91
3,01:54,1,2,31.0,76.0,29.93
3,02:54,1,2,31.0,76.0,29.93
3,03:54,1,2,31.0,76.0,29.93
3,04:54,1,2,31.0,76.0,29.93
3,05:54,1,2,31.0,79.0,29.94
3,06:54,1,2,31.0,79.0,29.96
3,07:54,1,2,32.0,75.0,29.96
3,08:54,1,2,34.0,75.0,29.98
3,09:54,1,2,38.0,68.0,29.98
3,10:54,1,2,40.0,63.0,29.97
3,11:54,1,2,41.0,60.0,29.95
3,12:54,1,2,42.0,58.0,29.93
3,13:54,1,2,41.0,60.0,29.93
3,14:54,1,2,42.0,58.0,29.94
3,15:54,1,2,41.0,60.0,29.94
3,16:54,1,2,41.0,60.0,29.94
3,17:54,1,2,41.0,62.0,29.94
3,18:54,1,2,40.0,65.0,29.97
3,19:54,1,2,40.0,68.0,29.97
3,20:54,1,2,39.0,70.0,29.96
3,21:54,1,2,39.0,70.0,29.96
3,22:54,1,2,39.0,70.0,29.94
3,23:54,1,2,39.0,73.0,29.94
4,00:54,1,3,38.0,76.0,29.93
4,01:54,1,3,37.0,79.0,29.93
4,02:54,1,3,38.0,73.0,29.92
4,03:54,1,3,38.0,73.0,29.91
4,04:54,1,3,38.0,73.0,29.90
4,05:54,1,3,38.0,73.0,29.90
4,06:54,1,3,37.0,79.0,29.90
4,07:54,1,3,37.0,79.0,29.89
4,08:54,1,3,37.0,82.0,29.90
4,09:54,1,3,39.0,79.0,29.90
4,10:54,1,3,41.0,70.0,29.89
4,11:54,1,3,42.0,65.0,29.86
4,12:54,1,3,45.0,58.0,29.84
4,13:54,1,3,43.0,58.0,29.84
4,14:54,1,3,43.0,56.0,29.85
4,15:54,1,3,39.0,53.0,29.88
4,16:54,1,3,38.0,52.0,29.91
4,17:54,1,3,35.0,34.0,29.95
4,18:54,1,3,32.0,36.0,30.00
4,19:54,1,3,30.0,33.0,30.02
4,20:54,1,3,28.0,35.0,30.05
4,21:54,1,3,26.0,35.0,30.07
4,22:54,1,3,24.0,44.0,30.09
4,23:54,1,3,23.0,50.0,30.09
5,00:54,1,4,23.0,48.0,30.11
5,01:54,1,4,22.0,50.0,30.11
5,02:54,1,4,22.0,50.0,30.12
5,03:54,1,4,22.0,48.0,30.14
5,04:54,1,4,21.0,52.0,30.16
5,05:54,1,4,21.0,54.0,30.17
5,06:54,1,4,21.0,52.0,30.18
5,07:54,1,4,21.0,54.0,30.20
5,08:54,1,4,23.0,48.0,30.21
5,09:54,1,4,26.0,42.0,30.21
5,10:54,1,4,28.0,43.0,30.19
5,11:54,1,4,31.0,40.0,30.16
5,12:54,1,4,33.0,38.0,30.14
5,13:54,1,4,33.0,42.0,30.13
5,14:54,1,4,34.0,42.0,30.14
5,15:54,1,4,32.0,45.0,30.14
5,16:54,1,4,32.0,47.0,30.16
5,17:54,1,4,31.0,49.0,30.16
5,18:54,1,4,30.0,54.0,30.17
5,19:54,1,4,31.0,56.0,30.19
5,20:54,1,4,32.0,59.0,30.18
5,21:54,1,4,32.0,61.0,30.17
5,22:54,1,4,32.0,64.0,30.16
5,23:54,1,4,32.0,64.0,30.18
6,00:54,1,5,31.0,61.0,30.16
6,01:54,1,5,31.0,61.0,30.17
6,02:54,1,5,31.0,61.0,30.18
6,03:54,1,5,32.0,61.0,30.19
6,04:54,1,5,31.0,67.0,30.20
6,05:54,1,5,31.0,69.0,30.21
6,06:54,1,5,31.0,72.0,30.21
6,07:54,1,5,32.0,69.0,30.22
6,08:54,1,5,33.0,66.0,30.22
6,09:54,1,5,36.0,57.0,30.24
6,10:54,1,5,36.0,55.0,30.22
6,11:54,1,5,36.0,57.0,30.19
6,12:54,1,5,35.0,64.0,30.17
6,13:54,1,5,35.0,70.0,30.15
6,14:54,1,5,36.0,70.0,30.13
6,15:54,1,5,35.0,76.0,30.13
6,16:54,1,5,36.0,79.0,30.11
6,17:54,1,5,36.0,73.0,30.11
6,18:54,1,5,36.0,76.0,30.07
6,19:54,1,5,36.0,86.0,30.07
6,20:54,1,5,33.0,100.0,30.02
6,21:54,1,5,37.0,100.0,29.96
6,22:54,1,5,37.0,100.0,29.91
6,23:54,1,5,37.0,100.0,29.86
7,00:54,1,6,36.0,100.0,29.85
7,01:54,1,6,34.0,100.0,29.83
7,02:54,1,6,34.0,100.0,29.80
7,03:54,1,6,34.0,100.0,29.80
7,04:54,1,6,35.0,100.0,29.78
7,05:54,1,6,35.0,100.0,29.75
7,06:54,1,6,35.0,100.0,29.74
