Date,Time (est),Temperature (ºF),Relative Humidity,Dwpt,Month
2,21:54,44.1,28.0,30.37,11
2,22:54,43.0,27.0,30.37,11
2,23:54,41.0,27.0,30.39,11
3,00:54,39.9,27.0,30.39,11
3,01:54,39.0,27.0,30.4,11
3,01:54,37.9,25.0,30.41,11
3,02:54,37.0,25.0,30.41,11
3,03:54,37.0,25.0,30.41,11
3,04:54,37.0,25.0,30.43,11
3,05:54,36.0,24.1,30.43,11
3,06:54,37.0,24.1,30.45,11
3,07:54,39.0,24.1,30.47,11
3,08:54,41.0,25.0,30.47,11
3,09:54,44.1,26.1,30.47,11
3,10:54,44.1,28.9,30.46,11
3,11:54,46.0,30.0,30.44,11
3,12:54,46.0,28.9,30.44,11
3,13:54,46.0,30.0,30.44,11
3,14:54,46.0,28.9,30.44,11
3,15:54,45.0,28.9,30.46,11
3,16:54,45.0,27.0,30.47,11
3,17:54,45.0,24.1,30.49,11
3,18:54,46.0,28.0,30.49,11
3,19:54,42.1,32.0,30.5,11
3,20:54,42.1,30.9,30.51,11
3,21:54,39.9,30.0,30.52,11
3,22:54,39.0,30.0,30.53,11
3,23:54,41.0,28.9,30.54,11
4,00:54,39.9,28.9,30.53,11
4,01:54,37.0,28.0,30.55,11
4,02:54,37.9,26.1,30.53,11
4,03:54,36.0,24.1,30.54,11
4,04:54,36.0,25.0,30.57,11
4,05:54,36.0,25.0,30.58,11
4,06:54,37.0,26.1,30.6,11
4,07:54,39.9,27.0,30.6,11
4,08:54,43.0,28.9,30.58,11
4,09:54,46.0,30.0,30.56,11
4,10:54,46.0,32.0,30.56,11
4,11:54,46.9,33.1,30.54,11
4,12:54,48.9,34.0,30.52,11
4,13:54,48.0,34.0,30.49,11
4,14:54,50.0,36.0,30.47,11
4,15:54,48.9,37.0,30.45,11
4,16:54,48.9,37.0,30.44,11
4,17:54,50.0,39.0,30.43,11
4,18:54,50.0,39.9,30.41,11
4,19:54,48.9,41.0,30.4,11
4,20:54,48.9,41.0,30.39,11
4,21:54,48.9,42.1,30.37,11
4,22:54,48.9,42.1,30.34,11
4,23:54,48.9,44.1,30.31,11
5,00:54,48.9,45.0,30.29,11
5,01:54,50.0,46.0,30.26,11
5,02:54,50.0,46.9,30.24,11
5,03:54,50.0,48.9,30.23,11
5,04:54,52.0,51.1,30.22,11
5,05:54,54.0,51.1,30.22,11
5,06:54,54.0,51.1,30.21,11
5,08:54,62.1,52.0,30.19,11
5,09:54,64.0,51.1,30.17,11
5,10:54,68.0,52.0,30.15,11
5,11:54,70.0,52.0,30.11,11
5,12:54,72.0,53.1,30.09,11
5,13:54,73.9,53.1,30.06,11
5,14:54,73.9,53.1,30.05,11
5,15:54,73.9,54.0,30.03,11
5,16:54,71.1,54.0,30.03,11
